Data,Dzień,Wykryci zakażeni,Testy,Hospitalizowani,Zmarli,Kwarantanna,Nadzór,"Testy, wartości przybliżone",Kwarantanna po powrocie do kraju,Wydarzenia,Wyzdrowiali,Testowane osoby
05/17/20,74.0,18529.0,620249.0,2459.0,925.0,84542.0,18195.0,,,,7451.0,567055.0
05/18/20,75.0,18885.0,636046.0,2544.0,936.0,80947.0,18772.0,,,,7628.0,581471.0
05/19/20,76.0,19268.0,653224.0,2490.0,948.0,76645.0,18831.0,,,,7903.0,597725.0
05/20/20,77.0,19739.0,674861.0,2414.0,962.0,76957.0,18984.0,,,,8183.0,617967.0
05/21/20,78.0,20143.0,697230.0,2330.0,972.0,77461.0,19729.0,,,,8452.0,639523.0
05/22/20,79.0,20619.0,719571.0,2261.0,982.0,77768.0,19500.0,,,,8731.0,660800.0
05/23/20,80.0,20931.0,750939.0,2271.0,993.0,80635.0,19836.0,,,,8977.0,687080.0
05/24/20,81.0,21326.0,767441.0,2242.0,996.0,79326.0,19529.0,,,,9194.0,701969.0
05/25/20,82.0,21631.0,779576.0,2268.0,1007.0,78259.0,19587.0,,,,9276.0,712675.0
05/26/20,83.0,22074.0,801753.0,2171.0,1024.0,78864.0,19139.0,,,,10020.0,733701.0
05/27/20,84.0,22473.0,824774.0,2171.0,1028.0,78864.0,19139.0,,,,10330.0,753675.0
05/28/20,85.0,22825.0,846732.0,2248.0,1038.0,79818.0,19373.0,,,,10560.0,773625.0
05/29/20,86.0,23155.0,873456.0,2035.0,1051.0,79995.0,18224.0,,,,10692.0,798476.0
05/30/20,87.0,23571.0,899069.0,2207.0,1061.0,80182.0,19161.0,,,Zniesienie części restrykcji (brak masek w przestrzeniach otwartych),11016.0,821811.0
05/31/20,88.0,23786.0,915546.0,2134.0,1064.0,78823.0,18947.0,,,,11271.0,836298.0
06/01/20,89.0,24165.0,931520.0,2181.0,1074.0,77406.0,18859.0,,,,11449.0,850417.0
06/02/20,90.0,24395.0,945955.0,2219.0,1092.0,78470.0,18692.0,,,,11726.0,862883.0
06/03/20,91.0,24687.0,967177.0,2150.0,1115.0,78691.0,18642.0,,,,12014.0,881907.0
06/04/20,92.0,,,,,,,,,,,
06/05/20,93.0,,,,,,,,,,,
06/06/20,94.0,,,,,,,,,,,
06/07/20,95.0,,,,,,,,,,,
